#,MLS #,Status,Area,Address,Zip,# Beds Total,# Baths Full,# Baths Half,# Living,# Stories,# Garage Spaces,Year Built,Acres,Sqft Total,LP$SqFt,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date,ADOM,CDOM
34,4540937,S,1A,3801 Laurel Ledge LN,78731,4,4,0,2,2,2,1973,0.32,"2,874",$200.03 ,"$574,900 ",$188.17 ,"$540,800 ",10/8/2015,88,88
35,8857223,S,1A,4109 Circletree LOOP,78731,4,2,0,2,1,2,1964,0.21,"1,989",$279.03 ,"$555,000 ",$273.50 ,"$544,000 ",10/6/2015,19,19
36,6931178,S,1A,8540 Adirondack TRL Unit#17,78759,3,2,1,3,2,2,2005,0.51,"2,214",$255.19 ,"$565,000 ",$246.16 ,"$545,000 ",12/23/2015,22,22
37,8467050,S,1A,8707 Oakmountain CIR,78759,4,2,0,2,1,2,1968,0.28,"2,299",$247.06 ,"$568,000 ",$239.65 ,"$550,960 ",11/16/2015,22,22
38,2096946,S,1A,4405 ENCLAVE CV,78731,5,3,0,1,2,2,1992,0.29,"2,539",$222.53 ,"$565,000 ",$217.03 ,"$551,050 ",9/28/2015,6,6
39,7031707,S,1A,7219 Running Rope,78731,4,2,0,1,1,2,1969,0.26,"1,893",$287.90 ,"$545,000 ",$293.19 ,"$555,000 ",11/10/2015,4,4
40,6677319,S,1A,8711 Oakmountain CIR,78759,5,3,0,1,2,2,1966,0.33,"2,955",$191.20 ,"$565,000 ",$187.82 ,"$555,000 ",8/20/2015,5,5
41,4377174,S,1A,4117 Honeycomb Rock CIR,78731,4,2,1,2,1,2,1965,0.25,"2,217",$259.36 ,"$575,000 ",$252.59 ,"$560,000 ",8/27/2015,8,8
42,3650067,S,1A,4207 Cat Hollow DR,78731,4,2,0,2,1,2,1966,0.27,"2,302",$236.75 ,"$545,000 ",$244.51 ,"$562,854 ",7/20/2015,3,3
43,6364466,S,1A,8617 Willowick DR,78759,4,2,1,2,1,2,1964,0.31,"2,198",$258.87 ,"$569,000 ",$256.14 ,"$563,000 ",9/1/2015,6,6
44,7115958,S,1A,4500 Autumnleaf HOLW,78731,3,3,1,1,2,2,1983,0.2,"2,482",$227.64 ,"$565,000 ",$229.45 ,"$569,500 ",7/2/2015,4,4
45,1134342,S,1A,8322 Adirondack TRL,78759,3,2,0,1,1,2,1980,0.23,"2,381",$251.15 ,"$598,000 ",$241.50 ,"$575,000 ",12/28/2015,86,86
46,5481055,S,1A,7703 Long Point DR,78731,3,2,0,2,1,2,1972,0.3,"2,052",$257.80 ,"$529,000 ",$282.65 ,"$580,000 ",6/22/2015,3,3
47,6707863,S,1A,7206 Lamplight LN,78731,4,2,0,2,1,2,1969,0.22,"2,150",$260.47 ,"$560,000 ",$272.09 ,"$585,000 ",12/15/2015,2,2
48,5013669,S,1A,7707 Mesa DR,78731,4,3,0,2,1,2,1970,0.26,"2,756",$217.34 ,"$599,000 ",$217.34 ,"$599,000 ",10/19/2015,12,12
49,4531413,S,1A,4001 Sierra DR,78731,3,2,0,2,1,2,1962,0.43,"2,209",$271.16 ,"$599,000 ",$271.62 ,"$600,000 ",8/24/2015,2,2
50,8592363,S,1A,4300 Mountain Path DR,78759,4,2,1,2,1,2,1971,0.29,"2,362",$264.61 ,"$625,000 ",$256.14 ,"$605,000 ",7/16/2015,5,5
51,6717225,S,1A,6300 RUSTY RIDGE DR,78731,4,3,0,3,1,2,1999,1.03,"3,078",$194.61 ,"$599,000 ",$196.72 ,"$605,500 ",9/29/2015,9,9
52,1714968,S,1A,5603 Driftwood DR,78731,3,2,1,2,1,1,1960,0.49,"2,116",$295.37 ,"$625,000 ",$287.10 ,"$607,500 ",9/11/2015,30,30
53,1200983,S,1A,6304 Gato PATH,78731,4,2,1,1,1,2,1983,0.28,"2,817",$218.32 ,"$615,000 ",$218.32 ,"$615,000 ",7/31/2015,4,4
54,1006541,S,1A,7209 Montana Norte,78731,4,3,0,2,1,2,1971,0.33,"2,562",$226.00 ,"$579,000 ",$240.05 ,"$615,000 ",7/30/2015,4,4
55,8079520,S,1A,4202 Bamford DR,78731,4,3,0,2,1,2,1971,0.34,"2,699",$235.27 ,"$635,000 ",$228.23 ,"$616,000 ",9/28/2015,2,2
