,afford_detrended,afford_pmt,month
159,-0.176712,0.20887,1988-04-01
160,-0.047751,0.213026,1988-05-01
161,-0.161542,0.209312,1988-06-01
162,-0.132431,0.210231,1988-07-01
163,-0.048899,0.212913,1988-08-01
164,-0.191821,0.208256,1988-09-01
165,-0.333938,0.203625,1988-10-01
166,-0.297837,0.20477,1988-11-01
167,-0.150547,0.209519,1988-12-01
168,-0.268242,0.205679,1989-01-01
169,-0.21157,0.207491,1989-02-01
170,-0.020071,0.213673,1989-03-01
171,-0.106118,0.210859,1989-04-01
172,-0.388125,0.201694,1989-05-01
173,-0.621111,0.194117,1989-06-01
174,-0.76359,0.189474,1989-07-01
175,-0.585004,0.195238,1989-08-01
176,-0.609352,0.194424,1989-09-01
177,-0.768445,0.189242,1989-10-01
178,-0.810674,0.187848,1989-11-01
179,-0.806715,0.187952,1989-12-01
180,-0.665688,0.192498,1990-01-01
181,-0.535768,0.196684,1990-02-01
182,-0.566638,0.195658,1990-03-01
183,-0.404445,0.200891,1990-04-01
184,-0.531146,0.196759,1990-05-01
185,-0.594227,0.194689,1990-06-01
186,-0.655171,0.192689,1990-07-01
187,-0.468217,0.198724,1990-08-01
188,-0.425952,0.200069,1990-09-01
189,-0.408165,0.20062,1990-10-01
190,-0.540928,0.196292,1990-11-01
191,-0.640201,0.19305,1990-12-01
192,-0.664828,0.192226,1991-01-01
193,-0.839082,0.186554,1991-02-01
194,-0.718219,0.190446,1991-03-01
195,-0.69165,0.191282,1991-04-01
196,-0.70345,0.190875,1991-05-01
197,-0.559424,0.195518,1991-06-01
198,-0.625184,0.193362,1991-07-01
199,-0.776097,0.188445,1991-08-01
200,-0.869639,0.185389,1991-09-01
201,-0.868586,0.185398,1991-10-01
202,-0.956483,0.182524,1991-11-01
203,-1.120333,0.177188,1991-12-01
204,-0.955007,0.182522,1992-01-01
205,-0.868785,0.185292,1992-02-01
206,-0.760498,0.188776,1992-03-01
207,-0.791535,0.187746,1992-04-01
208,-0.88562,0.184671,1992-05-01
209,-0.945649,0.1827,1992-06-01
210,-1.12519,0.176856,1992-07-01
211,-1.130879,0.176647,1992-08-01
212,-1.102952,0.177527,1992-09-01
213,-0.967459,0.181894,1992-10-01
214,-0.896231,0.184178,1992-11-01
215,-0.956147,0.182211,1992-12-01
216,-1.073337,0.178387,1993-01-01
217,-1.233821,0.173161,1993-02-01
218,-1.256975,0.172385,1993-03-01
219,-1.283697,0.171494,1993-04-01
220,-1.21747,0.173616,1993-05-01
221,-1.27266,0.171802,1993-06-01
222,-1.290726,0.171191,1993-07-01
223,-1.402601,0.16754,1993-08-01
224,-1.378739,0.168289,1993-09-01
225,-1.386716,0.168005,1993-10-01
226,-1.127121,0.176395,1993-11-01
227,-1.203889,0.173881,1993-12-01
228,-1.281361,0.171345,1994-01-01
229,-1.0798,0.177854,1994-02-01
230,-0.815463,0.186396,1994-03-01
231,-0.535125,0.195458,1994-04-01
232,-0.396298,0.199933,1994-05-01
233,-0.409897,0.199467,1994-06-01
234,-0.332172,0.201961,1994-07-01
235,-0.312547,0.202573,1994-08-01
236,-0.147343,0.207902,1994-09-01
237,-0.029002,0.211713,1994-10-01
238,0.098594,0.215824,1994-11-01
239,0.048944,0.21419,1994-12-01
240,0.017634,0.21315,1995-01-01
241,-0.217702,0.205497,1995-02-01
242,-0.431098,0.198555,1995-03-01
243,-0.497409,0.196381,1995-04-01
244,-0.726983,0.188915,1995-05-01
245,-0.896377,0.1834,1995-06-01
246,-0.745448,0.188267,1995-07-01
247,-0.676332,0.190482,1995-08-01
248,-0.807475,0.186206,1995-09-01
249,-0.893602,0.18339,1995-10-01
250,-0.945955,0.181668,1995-11-01
251,-1.074351,0.177482,1995-12-01
252,-1.121616,0.175925,1996-01-01
253,-0.957401,0.181222,1996-02-01
254,-0.749844,0.187925,1996-03-01
255,-0.619968,0.19211,1996-04-01
256,-0.567367,0.19379,1996-05-01
257,-0.420021,0.19854,1996-06-01
258,-0.471201,0.196857,1996-07-01
259,-0.52921,0.194951,1996-08-01
260,-0.486274,0.196318,1996-09-01
261,-0.656592,0.190773,1996-10-01
262,-0.850556,0.184461,1996-11-01
263,-0.795546,0.186219,1996-12-01
264,-0.677697,0.190014,1997-01-01
265,-0.845602,0.184547,1997-02-01
266,-0.720358,0.188581,1997-03-01
267,-0.70851,0.18894,1997-04-01
268,-0.827594,0.185056,1997-05-01
269,-1.045059,0.177982,1997-06-01
270,-1.149061,0.174586,1997-07-01
271,-1.086935,0.176575,1997-08-01
272,-1.264416,0.170797,1997-09-01
273,-1.330263,0.168638,1997-10-01
274,-1.384356,0.16686,1997-11-01
275,-1.507433,0.162846,1997-12-01
276,-1.466262,0.164155,1998-01-01
277,-1.498934,0.163071,1998-02-01
278,-1.52122,0.162324,1998-03-01
279,-1.49634,0.163106,1998-04-01
280,-1.537969,0.161731,1998-05-01
281,-1.593549,0.159905,1998-06-01
282,-1.579016,0.160351,1998-07-01
283,-1.600387,0.159633,1998-08-01
284,-1.7407,0.155061,1998-09-01
285,-1.641871,0.158239,1998-10-01
286,-1.669455,0.15732,1998-11-01
287,-1.649865,0.15793,1998-12-01
288,-1.700268,0.156271,1999-01-01
289,-1.621577,0.158797,1999-02-01
290,-1.570941,0.160413,1999-03-01
291,-1.565364,0.160569,1999-04-01
292,-1.40017,0.165898,1999-05-01
293,-1.169432,0.173352,1999-06-01
294,-1.088258,0.175958,1999-07-01
295,-1.000539,0.178777,1999-08-01
296,-0.972618,0.179657,1999-09-01
297,-0.838078,0.183993,1999-10-01
298,-0.928698,0.18103,1999-11-01
299,-0.739071,0.187152,1999-12-01
300,-0.612961,0.191214,2000-01-01
301,-0.54481,0.193399,2000-02-01
302,-0.526377,0.193971,2000-03-01
303,-0.562619,0.192771,2000-04-01
304,-0.255583,0.202698,2000-05-01
305,-0.411035,0.197635,2000-06-01
306,-0.402706,0.19788,2000-07-01
307,-0.446361,0.19644,2000-08-01
308,-0.449562,0.196311,2000-09-01
309,-0.528175,0.193738,2000-10-01
310,-0.475455,0.195422,2000-11-01
311,-0.798775,0.184917,2000-12-01
312,-0.741918,0.186735,2001-01-01
313,-0.702603,0.187985,2001-02-01
314,-0.787545,0.185207,2001-03-01
315,-0.614344,0.190796,2001-04-01
316,-0.482027,0.195059,2001-05-01
317,-0.4707,0.195402,2001-06-01
318,-0.486872,0.194852,2001-07-01
319,-0.514657,0.193927,2001-08-01
320,-0.577821,0.191855,2001-09-01
321,-0.61965,0.190474,2001-10-01
322,-0.37807,0.198279,2001-11-01
323,-0.278781,0.201473,2001-12-01
324,-0.374928,0.198331,2002-01-01
325,-0.466518,0.195338,2002-02-01
326,-0.22712,0.203072,2002-03-01
327,-0.376024,0.198221,2002-04-01
328,-0.419916,0.196773,2002-05-01
329,-0.519321,0.193526,2002-06-01
330,-0.610593,0.190543,2002-07-01
331,-0.642729,0.189477,2002-08-01
332,-0.753972,0.185846,2002-09-01
333,-0.530715,0.193057,2002-10-01
334,-0.630622,0.189794,2002-11-01
335,-0.746314,0.186019,2002-12-01
336,-0.739594,0.186212,2003-01-01
337,-0.775689,0.185017,2003-02-01
338,-0.696212,0.187569,2003-03-01
339,-0.796585,0.18429,2003-04-01
340,-1.093488,0.174642,2003-05-01
341,-1.117296,0.173845,2003-06-01
342,-0.649925,0.188969,2003-07-01
343,-0.366691,0.198124,2003-08-01
344,-0.557036,0.19193,2003-09-01
345,-0.582863,0.191068,2003-10-01
346,-0.598728,0.190529,2003-11-01
347,-0.603254,0.190357,2003-12-01
348,-0.686936,0.18762,2004-01-01
349,-0.768132,0.184963,2004-02-01
350,-0.897477,0.180746,2004-03-01
351,-0.534794,0.192476,2004-04-01
352,-0.331637,0.199036,2004-05-01
353,-0.360252,0.198084,2004-06-01
354,-0.466844,0.194604,2004-07-01
355,-0.632151,0.189221,2004-08-01
356,-0.677902,0.187713,2004-09-01
357,-0.709481,0.186665,2004-10-01
358,-0.656775,0.188348,2004-11-01
359,-0.634009,0.189061,2004-12-01
360,-0.756704,0.185059,2005-01-01
361,-0.729414,0.185919,2005-02-01
362,-0.513299,0.192899,2005-03-01
363,-0.681436,0.187424,2005-04-01
364,-0.766709,0.184635,2005-05-01
365,-0.823116,0.182782,2005-06-01
366,-0.620893,0.189312,2005-07-01
367,-0.571909,0.190874,2005-08-01
368,-0.388666,0.196789,2005-09-01
369,-0.221065,0.202196,2005-10-01
370,-0.173209,0.203722,2005-11-01
371,-0.218358,0.202234,2005-12-01
372,-0.250367,0.201172,2006-01-01
373,-0.147468,0.204482,2006-02-01
374,-0.080249,0.206636,2006-03-01
375,0.111953,0.212841,2006-04-01
376,0.183941,0.215149,2006-05-01
377,0.340685,0.220205,2006-06-01
378,0.367644,0.221053,2006-07-01
379,0.243568,0.217007,2006-08-01
380,0.156069,0.214146,2006-09-01
381,0.21053,0.215886,2006-10-01
382,0.047918,0.21059,2006-11-01
383,0.114282,0.212717,2006-12-01
384,0.174939,0.214658,2007-01-01
385,0.173086,0.214573,2007-02-01
386,0.157865,0.214054,2007-03-01
387,0.176893,0.214646,2007-04-01
388,0.400466,0.221868,2007-05-01
389,0.620725,0.228982,2007-06-01
390,0.675801,0.230742,2007-07-01
391,0.520019,0.225668,2007-08-01
392,0.536822,0.226188,2007-09-01
393,0.489376,0.224625,2007-10-01
394,0.348161,0.220023,2007-11-01
395,0.385205,0.221199,2007-12-01
396,0.03644,0.209869,2008-01-01
397,0.494834,0.224702,2008-02-01
398,0.274749,0.217544,2008-03-01
399,0.468449,0.223797,2008-04-01
400,0.598809,0.227997,2008-05-01
401,1.017138,0.241532,2008-06-01
402,1.197269,0.247345,2008-07-01
403,1.175742,0.246623,2008-08-01
404,1.014523,0.241372,2008-09-01
405,1.294626,0.250426,2008-10-01
406,0.807397,0.234609,2008-11-01
407,0.119716,0.212294,2008-12-01
408,0.152017,0.213316,2009-01-01
409,0.102314,0.21168,2009-02-01
410,-0.111536,0.204724,2009-03-01
411,-0.188612,0.202201,2009-04-01
412,-0.094351,0.205231,2009-05-01
413,0.34548,0.219462,2009-06-01
414,0.230969,0.215726,2009-07-01
415,0.191496,0.214421,2009-08-01
416,0.14576,0.212914,2009-09-01
417,0.158023,0.213287,2009-10-01
418,-0.021941,0.207428,2009-11-01
419,0.235616,0.215752,2009-12-01
420,0.111968,0.211719,2010-01-01
421,0.119289,0.211931,2010-02-01
422,0.031572,0.209063,2010-03-01
423,0.042837,0.209403,2010-04-01
424,-0.193433,0.20172,2010-05-01
425,-0.275944,0.199021,2010-06-01
426,-0.372479,0.195867,2010-07-01
427,-0.492222,0.191961,2010-08-01
428,-0.534765,0.190557,2010-09-01
429,-0.620923,0.18774,2010-10-01
430,-0.536062,0.190465,2010-11-01
431,-0.244444,0.199892,2010-12-01
432,-0.326287,0.197215,2011-01-01
433,-0.243826,0.199863,2011-02-01
434,-0.307903,0.197761,2011-03-01
435,-0.36458,0.195899,2011-04-01
436,-0.48622,0.191931,2011-05-01
437,-0.556763,0.18962,2011-06-01
438,-0.521673,0.190732,2011-07-01
439,-0.731373,0.18391,2011-08-01
440,-0.86229,0.179642,2011-09-01
441,-0.819794,0.180994,2011-10-01
442,-0.930631,0.177377,2011-11-01
443,-0.98342,0.175641,2011-12-01
444,-0.975442,0.175875,2012-01-01
445,-0.97916,0.175729,2012-02-01
446,-0.931383,0.177253,2012-03-01
447,-0.98411,0.175519,2012-04-01
448,-1.055993,0.173164,2012-05-01
449,-1.077331,0.172448,2012-06-01
450,-1.14232,0.170316,2012-07-01
451,-1.005511,0.174726,2012-08-01
452,-1.073661,0.172492,2012-09-01
453,-1.026173,0.174006,2012-10-01
454,-1.08379,0.172113,2012-11-01
455,-1.055249,0.173014,2012-12-01
456,-0.907492,0.177778,2013-01-01
457,-0.894471,0.178175,2013-02-01
458,-0.874431,0.1788,2013-03-01
459,-1.002877,0.174611,2013-04-01
460,-0.70876,0.18412,2013-05-01
461,-0.207318,0.200348,2013-06-01
462,-0.261257,0.198574,2013-07-01
463,-0.056395,0.20519,2013-08-01
464,-0.15978,0.201814,2013-09-01
465,-0.311664,0.196866,2013-10-01
466,-0.161725,0.201701,2013-11-01
467,-0.007694,0.206668,2013-12-01
468,-0.115729,0.203142,2014-01-01
469,-0.070205,0.204592,2014-02-01
470,-0.034716,0.205718,2014-03-01
471,-0.067421,0.204633,2014-04-01
472,-0.197628,0.200387,2014-05-01
473,-0.140148,0.202226,2014-06-01
474,-0.101194,0.203463,2014-07-01
475,-0.085004,0.203963,2014-08-01
476,0.023096,0.207442,2014-09-01
477,-0.131258,0.202414,2014-10-01
478,-0.144171,0.201971,2014-11-01
479,-0.239848,0.198844,2014-12-01
480,-0.43256,0.192573,2015-01-01
481,-0.270066,0.197815,2015-02-01
482,-0.324135,0.196038,2015-03-01
483,-0.254521,0.198269,2015-04-01
484,-0.129121,0.202309,2015-05-01
485,0.045043,0.207929,2015-06-01
486,0.072063,0.20878,2015-07-01
487,0.006493,0.206629,2015-08-01
488,0.053891,0.208141,2015-09-01
489,0.043574,0.207781,2015-10-01
490,0.150348,0.211217,2015-11-01
491,0.210123,0.21313,2015-12-01
492,0.06401,0.208369,2016-01-01
493,-0.043614,0.204856,2016-02-01
494,0.050662,0.207887,2016-03-01
495,0.110143,0.20979,2016-04-01
496,0.075156,0.208631,2016-05-01
497,-0.00248,0.206089,2016-06-01
498,0.039304,0.207419,2016-07-01
499,0.059331,0.208043,2016-08-01
500,0.100897,0.209365,2016-09-01
501,0.20128,0.212594,2016-10-01
502,0.664686,0.227589,2016-11-01
503,0.952964,0.236908,2016-12-01
504,0.879294,0.234495,2017-01-01
505,0.878182,0.234434,2017-02-01
506,0.86237,0.233897,2017-03-01
507,0.868787,0.23408,2017-04-01
508,0.75408,0.230337,2017-05-01
509,0.734127,0.229665,2017-06-01
510,0.839294,0.233049,2017-07-01
511,0.830881,0.232752,2017-08-01
512,0.899294,0.234944,2017-09-01
513,1.024114,0.238965,2017-10-01
514,1.033725,0.239251,2017-11-01
