,Zip Code,Square Footage,List Price,Sold Price Per Foot,Sold Price,Sold Date
0,78759,2126,379888,177.8,378000,11/22/2013
1,78731,2372,399900,160.2,380000,9/12/2013
2,78731,1662,396000,228.64,380000,7/3/2013
3,78731,2104,449000,182.98,385000,9/16/2013
4,78759,1877,385000,205.11,385000,7/24/2013
5,78759,2355,389900,165.56,389900,8/26/2013
6,78759,2440,400000,159.84,390000,9/12/2013
7,78759,1815,399950,215.95,391950,9/18/2013
8,78759,1975,399999,200.25,395500,8/23/2013
9,78759,2687,420000,148.86,400000,10/15/2013
10,78759,2090,399900,191.39,400000,5/31/2013
11,78759,1533,425000,264.19,405000,11/26/2013
12,78759,1794,409000,227.98,409000,9/16/2013
13,78731,1941,419000,215.87,419000,11/20/2013
14,78759,2164,419000,193.62,419000,9/13/2013
15,78759,2109,433000,201.26,424460,9/26/2013
16,78731,1770,424800,240.0,424800,8/23/2013
17,78731,2345,430000,181.24,425000,9/27/2013
18,78731,2694,469000,157.76,425000,8/2/2013
19,78759,1981,425000,214.54,425000,8/12/2013
20,78731,2429,435000,177.03,430000,12/13/2013
21,78759,2145,449900,204.66,439000,11/14/2013
22,78759,2518,450000,174.74,440000,11/27/2013
23,78759,1890,440000,232.8,440000,7/29/2013
24,78731,1952,445000,227.97,445000,12/20/2013
25,78759,2204,439000,202.81,447000,9/27/2013
26,78759,2311,444900,193.64,447500,10/18/2013
27,78731,2272,449900,198.02,449900,10/25/2013
28,78731,1906,425000,236.1,450000,9/30/2013
29,78731,2250,479000,204.44,460000,8/26/2013
30,78759,2213,465000,210.12,465000,12/27/2013
31,78731,2210,499000,210.41,465000,7/10/2013
32,78731,2222,469500,210.85,468500,10/4/2013
33,78731,2057,485000,228.49,470000,12/3/2013
34,78731,2340,459000,200.85,470000,10/11/2013
35,78731,1961,480000,239.67,470000,7/31/2013
36,78731,2734,479000,172.64,472000,10/29/2013
37,78731,1818,455000,259.9,472500,9/27/2013
38,78731,2215,479900,214.0,474000,8/28/2013
39,78731,3683,600000,128.97,475000,10/10/2013
40,78759,2418,469500,196.44,475000,9/12/2013
41,78731,2536,485000,189.12,479600,12/3/2013
42,78731,2415,490000,198.82,480150,7/25/2013
43,78759,2996,479900,162.88,488000,8/26/2013
44,78759,2832,515000,172.67,489000,12/16/2013
45,78731,2536,492500,194.4,493000,7/16/2013
46,78759,2042,490000,242.07,494300,11/1/2013
47,78759,1861,495000,265.99,495000,9/4/2013
48,78759,2345,495000,211.09,495000,7/29/2013
49,78731,2991,529900,167.17,500000,12/23/2013
50,78731,2203,519900,226.96,500000,10/25/2013
51,78731,2682,495000,186.43,500000,7/31/2013
52,78731,3000,525000,167.33,502000,11/12/2013
53,78731,2562,512000,198.52,508610,10/3/2013
54,78759,2294,519000,221.88,509000,9/30/2013
55,78731,2340,525000,219.02,512500,7/29/2013
56,78731,1928,499000,266.8,514400,9/17/2013
57,78731,2602,489000,197.92,515000,7/22/2013
58,78731,3163,524900,165.03,522000,11/19/2013
59,78731,2279,525000,230.36,525000,10/3/2013
60,78731,2438,529000,216.98,529000,8/9/2013
61,78731,2886,529900,183.61,529900,8/21/2013
62,78731,2795,575000,189.62,530000,9/13/2013
63,78731,2827,565000,187.48,530000,7/17/2013
64,78731,3158,599900,167.83,530000,8/27/2013
65,78731,1948,535000,273.61,533000,12/19/2013
66,78731,2154,529000,250.7,540000,11/15/2013
67,78731,2498,535000,216.17,540000,9/30/2013
68,78731,3086,545000,176.6,545000,7/26/2013
69,78731,2387,549900,230.41,550000,9/30/2013
70,78731,3221,585000,170.75,550000,9/30/2013
71,78731,2629,535000,211.53,556100,12/9/2013
72,78759,3664,579000,154.48,566000,7/24/2013
73,78731,3089,599900,183.7,567450,8/30/2013
74,78731,2966,599900,192.18,570000,12/9/2013
75,78731,4190,599900,136.04,570000,8/9/2013
76,78759,2297,579000,252.07,579000,7/17/2013
77,78731,2958,599900,197.77,585000,12/23/2013
78,78731,2500,589000,234.0,585000,6/27/2013
79,78731,2838,599900,208.25,591000,12/18/2013
80,78731,2692,639000,222.28,598366,9/20/2013
81,78731,2781,615000,215.75,600000,11/6/2013
82,78731,2797,629000,218.63,611500,10/29/2013
83,78731,4029,654900,155.13,625000,12/18/2013
84,78731,2559,629500,244.24,625000,8/16/2013
85,78731,3507,659000,184.2,646000,8/5/2013
86,78731,2937,645000,223.02,655000,8/29/2013
87,78731,2519,625000,262.01,660000,9/20/2013
88,78731,2646,699000,250.76,663500,10/10/2013
89,78731,2995,690000,224.37,672000,10/29/2013
90,78731,3057,665000,220.8,675000,8/16/2013
91,78731,3167,699900,214.08,678000,11/7/2013
92,78731,2754,699999,249.82,688000,8/23/2013
93,78731,2496,700000,276.44,690000,8/5/2013
94,78731,2699,685000,256.39,692000,8/6/2013
95,78731,3491,699900,200.49,699900,7/10/2013
96,78731,3859,699900,181.39,700000,8/13/2013
97,78731,3437,749947,209.49,720000,11/1/2013
98,78731,3745,769000,201.6,755000,9/27/2013
99,78731,3076,750000,248.7,765000,7/22/2013
100,78731,3641,795000,213.95,779000,7/5/2013
101,78731,3594,800000,225.1,809000,8/23/2013
102,78731,4121,849900,202.01,832500,9/12/2013
