,Zip Code,Square Footage,List Price,Sold Price Per Foot,Sold Price,Sold Date
0,78731,1662,360000,197.05,327500,12/31/2015
1,78731,2912,399000,121.91,355000,9/16/2015
2,78731,1749,410000,228.7,400000,11/30/2015
3,78759,2204,419914,181.49,400000,7/21/2015
4,78759,2310,425000,181.82,420000,9/10/2015
5,78759,2006,435000,211.86,425000,11/16/2015
6,78731,1917,439650,224.31,430000,8/17/2015
7,78759,2004,429700,214.57,430000,7/14/2015
8,78759,1815,429900,238.29,432500,8/31/2015
9,78731,2543,460000,174.99,445000,10/15/2015
10,78731,2600,499000,173.46,451000,8/5/2015
11,78731,2131,499900,221.96,473000,12/29/2015
12,78759,2227,475000,212.62,473500,7/1/2015
13,78731,2544,485000,186.71,475000,10/9/2015
14,78731,1940,447500,247.42,480000,11/17/2015
15,78759,2333,499900,205.74,480000,10/8/2015
16,78731,2048,500000,234.62,480500,9/1/2015
17,78731,2207,495000,219.76,485000,9/8/2015
18,78731,2255,499900,221.29,499000,8/7/2015
19,78759,2050,475000,243.66,499500,7/15/2015
20,78759,2641,519000,189.63,500825,11/30/2015
21,78759,2857,550000,176.76,505000,9/14/2015
22,78759,2382,510000,214.11,510000,8/17/2015
23,78731,2676,519000,192.45,515000,12/21/2015
24,78759,2384,525000,216.02,515000,11/9/2015
25,78731,1745,540000,295.13,515000,8/7/2015
26,78731,2090,529900,251.87,526400,7/30/2015
27,78731,2265,509000,232.67,527000,8/20/2015
28,78731,2127,539900,248.71,529000,12/21/2015
29,78759,3138,549000,168.58,529000,8/13/2015
30,78731,3432,675000,155.59,534000,9/18/2015
31,78759,3029,539000,177.29,537000,12/7/2015
32,78731,2572,575000,209.56,539000,8/25/2015
33,78731,2874,574900,188.17,540800,10/8/2015
34,78731,1989,555000,273.5,544000,10/6/2015
35,78759,2214,565000,246.16,545000,12/23/2015
36,78759,2299,568000,239.65,550960,11/16/2015
37,78731,2539,565000,217.03,551050,9/28/2015
38,78731,1893,545000,293.19,555000,11/10/2015
39,78759,2955,565000,187.82,555000,8/20/2015
40,78731,2217,575000,252.59,560000,8/27/2015
41,78731,2302,545000,244.51,562854,7/20/2015
42,78759,2198,569000,256.14,563000,9/1/2015
43,78731,2482,565000,229.45,569500,7/2/2015
44,78759,2381,598000,241.5,575000,12/28/2015
45,78731,2052,529000,282.65,580000,6/22/2015
46,78731,2150,560000,272.09,585000,12/15/2015
47,78731,2756,599000,217.34,599000,10/19/2015
48,78731,2209,599000,271.62,600000,8/24/2015
49,78759,2362,625000,256.14,605000,7/16/2015
50,78731,3078,599000,196.72,605500,9/29/2015
51,78731,2116,625000,287.1,607500,9/11/2015
52,78731,2817,615000,218.32,615000,7/31/2015
53,78731,2562,579000,240.05,615000,7/30/2015
54,78731,2699,635000,228.23,616000,9/28/2015
55,78731,2254,625000,279.06,629000,10/5/2015
