,Zip,Sqft Total,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date
0,78759.0,"2,126","$379,888 ",$177.80 ,"$378,000 ",11/22/2013
1,78731.0,"2,372","$399,900 ",$160.20 ,"$380,000 ",9/12/2013
2,78731.0,"1,662","$396,000 ",$228.64 ,"$380,000 ",7/3/2013
3,78731.0,"2,104","$449,000 ",$182.98 ,"$385,000 ",9/16/2013
4,78759.0,"1,877","$385,000 ",$205.11 ,"$385,000 ",7/24/2013
5,78759.0,"2,355","$389,900 ",$165.56 ,"$389,900 ",8/26/2013
6,78759.0,"2,440","$400,000 ",$159.84 ,"$390,000 ",9/12/2013
7,78759.0,"1,815","$399,950 ",$215.95 ,"$391,950 ",9/18/2013
8,78759.0,"1,975","$399,999 ",$200.25 ,"$395,500 ",8/23/2013
9,78759.0,"2,687","$420,000 ",$148.86 ,"$400,000 ",10/15/2013
10,78759.0,"2,090","$399,900 ",$191.39 ,"$400,000 ",5/31/2013
11,78759.0,"1,533","$425,000 ",$264.19 ,"$405,000 ",11/26/2013
12,78759.0,"1,794","$409,000 ",$227.98 ,"$409,000 ",9/16/2013
13,78731.0,"1,941","$419,000 ",$215.87 ,"$419,000 ",11/20/2013
14,78759.0,"2,164","$419,000 ",$193.62 ,"$419,000 ",9/13/2013
15,78759.0,"2,109","$433,000 ",$201.26 ,"$424,460 ",9/26/2013
16,78731.0,"1,770","$424,800 ",$240.00 ,"$424,800 ",8/23/2013
17,78731.0,"2,345","$430,000 ",$181.24 ,"$425,000 ",9/27/2013
18,78731.0,"2,694","$469,000 ",$157.76 ,"$425,000 ",8/2/2013
19,78759.0,"1,981","$425,000 ",$214.54 ,"$425,000 ",8/12/2013
20,78731.0,"2,429","$435,000 ",$177.03 ,"$430,000 ",12/13/2013
21,78759.0,"2,145","$449,900 ",$204.66 ,"$439,000 ",11/14/2013
22,78759.0,"2,518","$450,000 ",$174.74 ,"$440,000 ",11/27/2013
23,78759.0,"1,890","$440,000 ",$232.80 ,"$440,000 ",7/29/2013
24,78731.0,"1,952","$445,000 ",$227.97 ,"$445,000 ",12/20/2013
25,78759.0,"2,204","$439,000 ",$202.81 ,"$447,000 ",9/27/2013
26,78759.0,"2,311","$444,900 ",$193.64 ,"$447,500 ",10/18/2013
27,78731.0,"2,272","$449,900 ",$198.02 ,"$449,900 ",10/25/2013
28,78731.0,"1,906","$425,000 ",$236.10 ,"$450,000 ",9/30/2013
29,78731.0,"2,250","$479,000 ",$204.44 ,"$460,000 ",8/26/2013
30,78759.0,"2,213","$465,000 ",$210.12 ,"$465,000 ",12/27/2013
31,78731.0,"2,210","$499,000 ",$210.41 ,"$465,000 ",7/10/2013
32,78731.0,"2,222","$469,500 ",$210.85 ,"$468,500 ",10/4/2013
33,78731.0,"2,057","$485,000 ",$228.49 ,"$470,000 ",12/3/2013
34,78731.0,"2,340","$459,000 ",$200.85 ,"$470,000 ",10/11/2013
