,Zip Code,total_cost/zip,funds_over_tot
0,78613,2690.96,0.53
1,78644,1609.65,0.89
2,78652,2133.09,0.67
3,78701,7933.43,0.18
4,78702,1831.135,0.78
5,78703,5250.67,0.27
6,78704,2799.1000000000004,0.51
7,78705,3577.0099999999998,0.4
8,78717,1806.565,0.79
9,78719,646.815,2.21
10,78721,1079.665,1.32
11,78722,2124.88,0.67
12,78723,1420.955,1.01
13,78724,793.34,1.8
14,78725,783.495,1.82
15,78726,2375.52,0.6
16,78727,1565.355,0.91
17,78728,1225.695,1.17
18,78729,1412.75,1.01
19,78730,4877.375,0.29
20,78731,3556.505,0.4
21,78732,2699.825,0.53
22,78733,4126.535,0.35
23,78734,2001.49,0.71
24,78735,2849.3050000000003,0.5
25,78736,1909.93,0.75
26,78737,2349.815,0.61
27,78738,3327.7750000000005,0.43
28,78739,2492.145,0.57
29,78741,1121.5149999999999,1.27
30,78742,836.8249999999999,1.71
31,78744,869.645,1.64
32,78745,1360.255,1.05
33,78746,5578.84,0.26
34,78747,1220.075,1.17
35,78748,1352.0500000000002,1.06
36,78749,1847.745,0.77
37,78750,2436.63,0.59
38,78751,2247.9449999999997,0.64
39,78752,1501.37,0.95
40,78753,959.7249999999999,1.49
41,78754,1128.59,1.27
42,78756,3025.045,0.47
43,78757,2121.275,0.67
44,78758,1100.1799999999998,1.3
45,78759,2601.38,0.55
