,Zip Code,Square Footage,List Price,Sold Price Per Foot,Sold Price,Sold Date
0,78731,2342,495000,188.98,442600,7/5/2016
1,78759,1798,449900,247.5,445000,10/31/2016
2,78731,1692,450000,265.37,449000,8/31/2016
3,78759,1803,469900,249.58,450000,12/6/2016
4,78759,1810,445000,248.62,450000,7/8/2016
5,78759,1988,499000,231.39,460000,9/12/2016
6,78731,1911,460000,243.07,464500,7/22/2016
7,78759,1954,478000,239.51,468000,8/19/2016
8,78759,2051,475000,231.59,475000,11/30/2016
9,78731,2749,450000,172.79,475000,7/7/2016
10,78731,2174,480000,220.79,480000,12/28/2016
11,78759,1826,499900,262.87,480000,11/10/2016
12,78731,1974,495900,247.16,487900,12/8/2016
13,78759,1940,499000,255.15,495000,12/20/2016
14,78731,2094,465000,237.11,496500,10/19/2016
15,78731,1800,499000,277.22,499000,10/20/2016
16,78759,1947,499900,256.75,499900,6/20/2016
17,78731,1968,499990,256.61,505000,6/17/2016
18,78759,2493,515000,207.78,518000,11/30/2016
19,78731,1984,525000,264.62,525000,9/30/2016
20,78759,1895,535000,279.68,530000,9/28/2016
21,78731,2403,529000,222.64,535000,11/30/2016
22,78759,2422,599000,220.89,535000,9/16/2016
23,78759,1921,549999,278.71,535400,11/28/2016
24,78759,1804,565000,299.33,540000,12/23/2016
25,78759,1922,549950,284.86,547500,8/26/2016
26,78731,1935,550000,284.24,550000,12/2/2016
27,78731,2459,530000,224.68,552500,7/8/2016
28,78759,2131,574900,261.61,557500,10/24/2016
29,78731,2378,568950,237.59,565000,9/15/2016
30,78759,2025,575000,280.0,567000,10/14/2016
31,78731,2197,575000,259.44,570000,10/11/2016
32,78759,2012,575000,283.3,570000,8/29/2016
33,78731,2193,575000,260.6,571500,9/9/2016
34,78731,1833,577000,312.06,572000,7/22/2016
35,78731,2737,595000,209.17,572500,11/29/2016
36,78759,3815,575000,150.72,575000,10/21/2016
37,78731,2861,619999,201.73,577150,9/30/2016
38,78731,2590,599500,223.94,580000,9/30/2016
39,78731,2709,589000,215.58,584000,12/19/2016
40,78731,3116,625000,189.35,590000,11/3/2016
41,78731,1661,549000,356.71,592500,11/10/2016
42,78731,1918,609000,310.22,595000,8/19/2016
43,78731,2556,600000,233.96,598000,11/9/2016
44,78731,2258,599000,265.28,599000,9/12/2016
45,78731,3042,635000,198.22,603000,11/16/2016
46,78731,2283,599000,265.0,605000,7/21/2016
47,78731,2723,629000,224.02,610000,11/21/2016
48,78731,2154,625000,290.16,625000,12/23/2016
49,78731,1893,649000,330.16,625000,10/27/2016
50,78731,2380,650000,262.61,625000,12/22/2016
51,78731,2456,649000,256.51,630000,7/15/2016
52,78759,3411,650000,184.7,630000,8/19/2016
53,78731,2195,635000,287.02,630000,7/25/2016
54,78731,2966,635000,213.76,634000,6/8/2016
55,78731,1955,635000,324.81,635000,9/23/2016
56,78759,3278,649000,194.33,637000,9/6/2016
57,78731,2430,650000,262.93,638930,10/21/2016
58,78731,3329,699000,193.6,644500,6/22/2016
59,78731,2201,645000,293.05,645000,8/31/2016
60,78731,3336,674900,194.84,650000,12/12/2016
61,78759,2515,674500,259.44,652500,9/15/2016
62,78731,2950,669950,223.39,659000,12/16/2016
63,78731,2546,685000,264.14,672500,8/31/2016
64,78731,3100,695000,217.74,675000,11/22/2016
65,78759,2432,689000,279.19,679000,12/16/2016
66,78759,2362,685000,290.01,685000,12/19/2016
67,78731,3371,750000,203.2,685000,12/8/2016
68,78759,2203,690000,313.21,690000,12/21/2016
69,78731,3455,695000,201.16,695000,8/1/2016
70,78759,2474,699900,282.9,699900,8/17/2016
71,78759,3256,725000,218.06,710000,8/17/2016
72,78759,2852,699900,248.95,710000,8/15/2016
73,78731,2776,699900,258.47,717500,7/21/2016
74,78759,2445,729000,294.48,720000,11/4/2016
75,78759,2736,769900,263.52,721000,8/19/2016
76,78731,2354,725000,307.99,725000,12/12/2016
77,78731,2794,750000,259.48,725000,12/1/2016
78,78731,3320,769000,220.78,733000,11/29/2016
79,78759,3879,749900,190.13,737500,8/16/2016
80,78731,2548,749900,290.42,740000,12/16/2016
81,78759,2531,724000,296.33,750000,6/17/2016
82,78731,2954,775000,257.28,760000,7/20/2016
83,78731,2817,775000,270.32,761500,12/15/2016
84,78731,2333,765000,327.9,765000,8/31/2016
85,78731,3944,895000,196.37,774500,10/7/2016
86,78731,3103,775000,249.76,775000,12/9/2016
87,78731,2771,785000,279.68,775000,7/26/2016
88,78731,2555,779000,304.89,779000,9/14/2016
89,78731,2632,815000,301.12,792540,8/18/2016
90,78731,2870,774900,276.83,794500,12/15/2016
91,78731,2564,859900,327.61,840000,11/18/2016
92,78731,3966,899000,216.84,860000,8/25/2016
93,78731,3558,869000,241.71,860000,8/5/2016
94,78731,2978,875000,292.14,870000,10/18/2016
95,78731,3080,849000,283.77,874000,10/28/2016
96,78731,3549,900000,251.9,894000,6/27/2016
97,78731,4235,925000,211.45,895500,10/6/2016
98,78731,3853,899000,233.32,899000,11/4/2016
99,78731,3289,949500,281.24,925000,9/29/2016
100,78731,5004,1195000,199.84,1000000,11/28/2016
101,78731,3451,1075000,311.5,1075000,10/4/2016
102,78731,3509,1232500,334.85,1175000,10/17/2016
103,78731,4912,1325000,268.73,1320000,10/28/2016
