,Zip,Sqft Total,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date
675,78758,"1,191","$144,900 ",$123.01 ,"$146,500 ",6/10/2015
676,78753,"1,103","$158,000 ",$139.72 ,"$154,108 ",10/5/2015
677,78753,"1,200","$155,000 ",$129.17 ,"$155,000 ",12/31/2015
678,78758,"1,409","$159,000 ",$110.01 ,"$155,000 ",10/13/2015
679,78758,"1,523","$198,900 ",$101.77 ,"$155,000 ",9/30/2015
680,78758,"1,173","$165,000 ",$132.31 ,"$155,200 ",7/9/2015
681,78758,"1,382","$195,000 ",$116.14 ,"$160,500 ",7/22/2015
682,78758,"1,036","$149,000 ",$156.85 ,"$162,500 ",10/23/2015
683,78758,"1,398","$150,000 ",$116.24 ,"$162,500 ",9/29/2015
684,78758,840,"$162,500 ",$196.43 ,"$165,000 ",10/28/2015
685,78758,"1,009","$165,000 ",$163.53 ,"$165,000 ",10/28/2015
686,78753,"1,518","$164,000 ",$110.01 ,"$167,000 ",7/28/2015
687,78758,"1,208","$169,900 ",$139.90 ,"$169,000 ",10/23/2015
688,78758,"1,065","$175,000 ",$159.62 ,"$170,000 ",9/9/2015
689,78753,868,"$145,000 ",$199.31 ,"$173,000 ",7/20/2015
690,78758,"1,072","$185,000 ",$162.31 ,"$174,000 ",11/18/2015
691,78758,"1,264","$170,000 ",$138.45 ,"$175,000 ",9/4/2015
692,78753,"1,644","$173,000 ",$106.45 ,"$175,000 ",7/10/2015
693,78753,"1,094","$165,000 ",$160.42 ,"$175,500 ",6/22/2015
694,78758,853,"$174,500 ",$208.68 ,"$178,000 ",9/29/2015
695,78753,"1,208","$163,000 ",$149.01 ,"$180,000 ",8/21/2015
696,78753,"1,352","$178,900 ",$134.62 ,"$182,000 ",7/24/2015
697,78758,"1,225","$165,000 ",$149.18 ,"$182,750 ",9/3/2015
698,78758,"1,160","$154,900 ",$157.76 ,"$183,000 ",11/23/2015
699,78758,"1,537","$184,400 ",$119.97 ,"$184,400 ",7/30/2015
700,78758,"1,064","$184,500 ",$173.40 ,"$184,500 ",9/3/2015
701,78753,"1,210","$182,000 ",$152.89 ,"$185,000 ",8/31/2015
702,78753,"1,416","$184,900 ",$130.65 ,"$185,000 ",8/6/2015
703,78753,"1,456","$199,900 ",$129.12 ,"$188,000 ",11/13/2015
704,78758,"1,328","$174,000 ",$141.57 ,"$188,000 ",8/14/2015
705,78753,"1,543","$179,000 ",$122.49 ,"$189,000 ",11/2/2015
706,78758,"1,474","$190,000 ",$128.90 ,"$190,000 ",12/18/2015
707,78758,"1,620","$195,000 ",$117.28 ,"$190,000 ",12/4/2015
708,78758,"1,225","$192,000 ",$156.73 ,"$192,000 ",11/25/2015
709,78758,"2,062","$180,000 ",$93.40 ,"$192,600 ",12/11/2015
710,78758,965,"$199,900 ",$202.13 ,"$195,055 ",12/2/2015
711,78758,"1,560","$185,000 ",$126.28 ,"$197,000 ",8/24/2015
712,78753,"1,125","$197,500 ",$175.56 ,"$197,500 ",12/22/2015
713,78753,"1,290","$199,000 ",$153.88 ,"$198,500 ",12/15/2015
714,78758,"1,123","$199,000 ",$177.20 ,"$199,000 ",9/29/2015
715,78758,"1,314","$199,000 ",$151.45 ,"$199,000 ",8/26/2015
716,78758,"1,436","$210,900 ",$140.67 ,"$202,000 ",8/20/2015
717,78758,"2,023","$205,500 ",$100.10 ,"$202,500 ",10/1/2015
718,78758,"1,064","$195,000 ",$190.79 ,"$203,000 ",10/30/2015
719,78753,"1,321","$199,900 ",$154.05 ,"$203,500 ",8/3/2015
720,78758,"1,516","$199,400 ",$135.22 ,"$205,000 ",12/31/2015
721,78758,"1,184","$195,000 ",$173.14 ,"$205,000 ",10/13/2015
722,78758,"1,087","$200,000 ",$189.51 ,"$206,000 ",11/9/2015
723,78758,"1,040","$209,999 ",$199.52 ,"$207,500 ",8/27/2015
