#,MLS #,Status,Area,Address,Zip,# Beds Total,# Baths Full,# Baths Half,# Living,# Stories,# Garage Spaces,Year Built,Acres,Sqft Total,LP$SqFt,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date,ADOM,CDOM
1,6165526,S,1A,5908 Mountainclimb DR,78731,4,2,0,2,2,2,1965,0.31,"2,342",$211.36 ,"$495,000 ",$188.98 ,"$442,600 ",7/5/2016,34,34
2,4535464,S,1A,8009 Chervil DR,78759,3,2,0,2,1,2,1969,0.15,"1,798",$250.22 ,"$449,900 ",$247.50 ,"$445,000 ",10/31/2016,101,101
3,2049613,S,1A,5714 Highland Hills DR,78731,3,2,0,2,1,0,1958,0.24,"1,692",$265.96 ,"$450,000 ",$265.37 ,"$449,000 ",8/31/2016,3,3
4,3715674,S,1A,4011 Hyridge DR,78759,3,2,0,2,1,2,1967,0.29,"1,803",$260.62 ,"$469,900 ",$249.58 ,"$450,000 ",12/6/2016,18,18
5,3010003,S,1A,4001 Amy CIR,78759,3,2,0,1,1,2,1976,0.19,"1,810",$245.86 ,"$445,000 ",$248.62 ,"$450,000 ",7/8/2016,3,3
6,8811284,S,1A,8705 Camelia LN,78759,3,2,0,2,1,2,1964,0.28,"1,988",$251.01 ,"$499,000 ",$231.39 ,"$460,000 ",9/12/2016,43,43
7,7008817,S,1A,3510 Wendel CV Unit#6,78731,3,2,1,1,3,2,2001,0.24,"1,911",$240.71 ,"$460,000 ",$243.07 ,"$464,500 ",7/22/2016,11,11
8,2914046,S,1A,8708 Azalea TRL,78759,3,2,0,2,1,2,1965,0.32,"1,954",$244.63 ,"$478,000 ",$239.51 ,"$468,000 ",8/19/2016,31,31
9,6195922,S,1A,8305 High Oak DR,78759,3,2,0,1,1,2,1970,0.26,"2,051",$231.59 ,"$475,000 ",$231.59 ,"$475,000 ",11/30/2016,41,41
10,6334624,S,1A,7140 Las Ventanas DR,78731,3,2,1,3,3,2,1991,0.1,"2,749",$163.70 ,"$450,000 ",$172.79 ,"$475,000 ",7/7/2016,10,10
11,1844809,S,1A,4405 Jessamine HOLW,78731,3,2,1,1,2,2,1983,0.11,"2,174",$220.79 ,"$480,000 ",$220.79 ,"$480,000 ",12/28/2016,4,4
12,9913074,S,1A,8709 Silverhill LN,78759,4,2,0,2,1,2,1968,0.26,"1,826",$273.77 ,"$499,900 ",$262.87 ,"$480,000 ",11/10/2016,56,56
13,1357998,S,1A,4603 Lantana HOLW,78731,3,2,1,1,2,2,1983,0.11,"1,974",$251.22 ,"$495,900 ",$247.16 ,"$487,900 ",12/8/2016,2,2
14,6962875,S,1A,8906 Wildridge DR,78759,4,2,1,2,2,2,1972,0.29,"1,940",$257.22 ,"$499,000 ",$255.15 ,"$495,000 ",12/20/2016,83,83
15,3291481,S,1A,7505 Chimney CORS,78731,4,2,0,2,1,2,1970,0.29,"2,094",$222.06 ,"$465,000 ",$237.11 ,"$496,500 ",10/19/2016,11,11
16,1078214,S,1A,5907 Camino Seco,78731,3,2,1,1,2,2,1983,0.22,"1,800",$277.22 ,"$499,000 ",$277.22 ,"$499,000 ",10/20/2016,49,49
17,8683164,S,1A,3902 Amy CIR,78759,3,2,0,1,1,2,1976,0.17,"1,947",$256.75 ,"$499,900 ",$256.75 ,"$499,900 ",6/20/2016,7,7
18,7522226,S,1A,4908 Bob Cat RUN,78731,3,2,0,1,1,2,1983,0.14,"1,968",$254.06 ,"$499,990 ",$256.61 ,"$505,000 ",6/17/2016,4,4
19,9175108,S,1A,8810 Point West DR,78759,4,2,0,2,1,2,1967,0.28,"2,493",$206.58 ,"$515,000 ",$207.78 ,"$518,000 ",11/30/2016,11,11
20,1272634,S,1A,4213 Endcliffe DR,78731,3,2,0,2,1,2,1970,0.23,"1,984",$264.62 ,"$525,000 ",$264.62 ,"$525,000 ",9/30/2016,3,3
21,2457509,S,1A,8705 Honeysuckle TRL,78759,4,2,0,1,1,2,1964,0.26,"1,895",$282.32 ,"$535,000 ",$279.68 ,"$530,000 ",9/28/2016,9,9
22,6580895,S,1A,4501 Autumnleaf HOLW,78731,3,2,1,3,2,2,1985,0.32,"2,403",$220.14 ,"$529,000 ",$222.64 ,"$535,000 ",11/30/2016,4,78
23,1500688,S,1A,8400 EMERALD HILL DR,78759,4,2,1,3,1,2,1970,0.3,"2,422",$247.32 ,"$599,000 ",$220.89 ,"$535,000 ",9/16/2016,9,9
24,3036569,S,1A,9008 Rockcrest DR,78759,3,2,0,2,1,2,1972,0.23,"1,921",$286.31 ,"$549,999 ",$278.71 ,"$535,400 ",11/28/2016,44,44
25,2745617,S,1A,8004 Hillrise DR,78759,3,2,0,1,1,0,1971,0.28,"1,804",$313.19 ,"$565,000 ",$299.33 ,"$540,000 ",12/23/2016,111,111
26,2939887,S,1A,8801 Mountain Ridge DR,78759,4,2,0,2,1,2,1975,0.25,"1,922",$286.13 ,"$549,950 ",$284.86 ,"$547,500 ",8/26/2016,3,3
27,4536991,S,1A,4005 Knollwood DR,78731,4,2,0,2,1,2,1968,0.28,"1,935",$284.24 ,"$550,000 ",$284.24 ,"$550,000 ",12/2/2016,5,5
28,5544496,S,1A,6819 Cougar RUN,78731,3,2,1,3,2,2,1996,0.09,"2,459",$215.53 ,"$530,000 ",$224.68 ,"$552,500 ",7/8/2016,1,1
29,9362390,S,1A,8014 Forest Mesa DR,78759,3,2,0,2,1,2,1983,0.27,"2,131",$269.78 ,"$574,900 ",$261.61 ,"$557,500 ",10/24/2016,97,97
30,2576940,S,1A,6206 MOUNTAIN VILLA DR,78731,4,3,1,1,M,2,1985,0.3,"2,378",$239.26 ,"$568,950 ",$237.59 ,"$565,000 ",9/15/2016,12,12
31,6625081,S,1A,8305 Silver Ridge DR,78759,4,2,0,1,1,2,1971,0.32,"2,025",$283.95 ,"$575,000 ",$280.00 ,"$567,000 ",10/14/2016,4,4
32,4535663,S,1A,5704 Trailridge DR,78731,3,2,0,2,1,2,1956,0.27,"2,197",$261.72 ,"$575,000 ",$259.44 ,"$570,000 ",10/11/2016,6,6
33,3014021,S,1A,8509 Adirondack CV,78759,3,2,0,1,1,2,1984,0.4,"2,012",$285.79 ,"$575,000 ",$283.30 ,"$570,000 ",8/29/2016,2,2
34,5965409,S,1A,7913 Comfort CV,78731,3,2,1,2,2,2,1998,0.11,"2,193",$262.20 ,"$575,000 ",$260.60 ,"$571,500 ",9/9/2016,2,2
