#,MLS #,Status,Area,Address,Zip,# Beds Total,# Baths Full,# Baths Half,# Living,# Stories,# Garage Spaces,Year Built,Acres,Sqft Total,LP$SqFt,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date,ADOM,CDOM
1,9444072,S,1A,8009 Greenslope DR,78759,4,3,0,2,2,2,1967,0.25,"2,126",$178.69 ,"$379,888 ",$177.80 ,"$378,000 ",11/22/2013,7,7
2,4242529,S,1A,4607 Lime Stone CIR,78731,3,2,1,1,2,2,1983,0.11,"2,372",$168.59 ,"$399,900 ",$160.20 ,"$380,000 ",9/12/2013,66,66
3,9594881,S,1A,5905 Camino Seco,78731,3,2,1,1,2,2,1981,0.23,"1,662",$238.27 ,"$396,000 ",$228.64 ,"$380,000 ",7/3/2013,48,48
4,2054438,S,1A,6103 Mountainclimb DR,78731,3,2,0,2,1,0,1962,0.3,"2,104",$213.40 ,"$449,000 ",$182.98 ,"$385,000 ",9/16/2013,21,21
5,4445056,S,1A,3612 Cima Serena DR,78759,3,2,0,2,1,2,1981,0.16,"1,877",$205.11 ,"$385,000 ",$205.11 ,"$385,000 ",7/24/2013,3,3
6,1063630,S,1A,8001 Cardin DR,78759,3,2,1,2,2,2,1983,0.29,"2,355",$165.56 ,"$389,900 ",$165.56 ,"$389,900 ",8/26/2013,7,7
7,1130783,S,1A,8822 Mountain Path CIR,78759,3,3,0,2,2,2,1973,0.27,"2,440",$163.93 ,"$400,000 ",$159.84 ,"$390,000 ",9/12/2013,17,17
8,9610561,S,1A,8718 Tallwood DR,78759,3,2,1,3,2,2,1969,0.27,"1,815",$220.36 ,"$399,950 ",$215.95 ,"$391,950 ",9/18/2013,10,10
9,5022730,S,1A,3614 Cima Serena DR,78759,3,2,0,1,1,2,1978,0.2,"1,975",$202.53 ,"$399,999 ",$200.25 ,"$395,500 ",8/23/2013,4,4
10,4834917,S,1A,8812 Mesa DR,78759,4,3,0,3,1,2,1968,0.23,"2,687",$156.31 ,"$420,000 ",$148.86 ,"$400,000 ",10/15/2013,33,33
11,9384462,S,1A,9003 Rockcrest DR,78759,4,2,1,2,1,2,1971,0.24,"2,090",$191.34 ,"$399,900 ",$191.39 ,"$400,000 ",5/31/2013,,
12,6873877,S,1A,7905 Lawndale DR,78759,3,2,0,2,1,2,1968,0.22,"1,533",$277.23 ,"$425,000 ",$264.19 ,"$405,000 ",11/26/2013,6,6
13,8430969,S,1A,3519 Starline DR,78759,4,2,0,1,1,2,1966,0.29,"1,794",$227.98 ,"$409,000 ",$227.98 ,"$409,000 ",9/16/2013,34,34
14,5457567,S,1A,3909 Dry Creek DR,78731,3,2,1,1,2,2,1984,0.25,"1,941",$215.87 ,"$419,000 ",$215.87 ,"$419,000 ",11/20/2013,14,14
15,1286784,S,1A,8801 Point West DR,78759,4,2,1,2,2,2,1967,0.25,"2,164",$193.62 ,"$419,000 ",$193.62 ,"$419,000 ",9/13/2013,21,21
16,3123919,S,1A,8705 Willowick DR,78759,4,2,1,2,2,2,1964,0.23,"2,109",$205.31 ,"$433,000 ",$201.26 ,"$424,460 ",9/26/2013,27,27
17,4186975,S,1A,3906 SIERRA DR,78731,3,2,0,2,1,2,1962,0.31,"1,770",$240.00 ,"$424,800 ",$240.00 ,"$424,800 ",8/23/2013,2,2
18,6604444,S,1A,3914 Knollwood DR,78731,4,2,1,2,1,2,1972,0.46,"2,345",$183.37 ,"$430,000 ",$181.24 ,"$425,000 ",9/27/2013,1,1
19,7453790,S,1A,4113 Circletree LOOP,78731,3,2,1,2,1,0,1965,0.26,"2,694",$174.09 ,"$469,000 ",$157.76 ,"$425,000 ",8/2/2013,8,8
20,5677997,S,1A,8603 Dorotha CT,78759,3,3,0,2,1,2,1977,0.2,"1,981",$214.54 ,"$425,000 ",$214.54 ,"$425,000 ",8/12/2013,5,5
21,8606318,S,1A,4503 Autumnleaf HOLW,78731,3,2,1,2,3,2,1985,0.2,"2,429",$179.09 ,"$435,000 ",$177.03 ,"$430,000 ",12/13/2013,91,91
22,4936600,S,1A,8851 Mountain Ridge CIR,78759,3,2,1,2,2,2,1980,0.68,"2,145",$209.74 ,"$449,900 ",$204.66 ,"$439,000 ",11/14/2013,84,84
23,2924045,S,1A,4001 Greenmountain LN,78759,4,2,1,2,2,2,1967,0.27,"2,518",$178.71 ,"$450,000 ",$174.74 ,"$440,000 ",11/27/2013,7,7
24,3052741,S,1A,9000 CURRYWOOD DR,78759,4,2,0,1,1,2,1972,0.23,"1,890",$232.80 ,"$440,000 ",$232.80 ,"$440,000 ",7/29/2013,4,4
25,2645291,S,1A,6505 Lakewood DR,78731,3,2,0,1,2,2,1981,0.39,"1,952",$227.97 ,"$445,000 ",$227.97 ,"$445,000 ",12/20/2013,5,5
26,3348402,S,1A,8508 Silver Ridge DR,78759,4,2,0,2,1,2,1969,0.29,"2,204",$199.18 ,"$439,000 ",$202.81 ,"$447,000 ",9/27/2013,5,5
27,7537588,S,1A,8824 Silverarrow CIR,78759,4,3,0,2,1,2,1969,0.28,"2,311",$192.51 ,"$444,900 ",$193.64 ,"$447,500 ",10/18/2013,57,57
28,2207074,S,1A,3912 Arbor Glen WAY,78731,3,2,1,2,2,2,1996,0.14,"2,272",$198.02 ,"$449,900 ",$198.02 ,"$449,900 ",10/25/2013,10,49
29,1485309,S,1A,4211 Deepwoods DR,78731,4,2,0,2,1,2,1967,0.23,"1,906",$222.98 ,"$425,000 ",$236.10 ,"$450,000 ",9/30/2013,3,3
30,9815419,S,1A,7301 Waterline RD,78731,3,2,0,3,1,2,1966,0.22,"2,250",$212.89 ,"$479,000 ",$204.44 ,"$460,000 ",8/26/2013,57,57
31,9096899,S,1A,8302 Appalachian DR,78759,3,2,1,2,2,2,1977,0.32,"2,213",$210.12 ,"$465,000 ",$210.12 ,"$465,000 ",12/27/2013,5,5
32,3689669,S,1A,3907 Greystone DR,78731,4,2,1,2,1,2,1969,0.23,"2,210",$225.79 ,"$499,000 ",$210.41 ,"$465,000 ",7/10/2013,5,5
33,8941625,S,1A,4607 Beechwood HOLW,78731,3,2,1,3,2,2,1987,0.14,"2,222",$211.30 ,"$469,500 ",$210.85 ,"$468,500 ",10/4/2013,3,3
