,Zip,Sqft Total,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date
0,78759,"1,741","$369,000 ",$186.67 ,"$325,000 ",8/18/2014
1,78759,"2,058","$399,000 ",$168.61 ,"$347,000 ",9/11/2014
2,78731,"1,662","$374,900 ",$215.40 ,"$358,000 ",10/31/2014
3,78731,"1,997","$410,000 ",$185.03 ,"$369,500 ",9/15/2014
4,78731,"2,058","$390,000 ",$187.07 ,"$385,000 ",6/6/2014
5,78731,"2,289","$399,000 ",$169.94 ,"$389,000 ",9/5/2014
6,78759,"1,456","$390,000 ",$267.17 ,"$389,000 ",8/8/2014
7,78759,"1,822","$400,000 ",$219.54 ,"$400,000 ",12/11/2014
8,78731,"1,860","$419,000 ",$220.43 ,"$410,000 ",8/1/2014
9,78759,"1,922","$420,000 ",$215.92 ,"$415,000 ",11/5/2014
10,78759,"2,422","$439,500 ",$171.35 ,"$415,000 ",10/16/2014
11,78731,"2,206","$469,000 ",$197.19 ,"$435,000 ",9/29/2014
12,78731,"1,513","$419,500 ",$287.51 ,"$435,000 ",7/23/2014
13,78759,"2,598","$425,000 ",$170.52 ,"$443,000 ",8/29/2014
14,78759,"2,208","$499,500 ",$203.35 ,"$449,000 ",10/17/2014
15,78759,"2,038","$449,000 ",$220.31 ,"$449,000 ",7/31/2014
16,78731,"2,493","$475,000 ",$180.10 ,"$449,000 ",10/7/2014
17,78759,"1,815","$449,900 ",$247.88 ,"$449,900 ",10/17/2014
18,78731,"2,412","$475,000 ",$186.57 ,"$450,000 ",12/15/2014
19,78759,"2,236","$450,000 ",$203.49 ,"$455,000 ",7/17/2014
20,78759,"2,590","$463,500 ",$176.64 ,"$457,500 ",8/18/2014
21,78731,"2,470","$459,000 ",$185.83 ,"$459,000 ",6/24/2014
22,78759,"2,193","$450,000 ",$209.76 ,"$460,000 ",12/19/2014
23,78731,"2,078","$475,000 ",$221.37 ,"$460,000 ",10/23/2014
24,78731,"2,151","$475,000 ",$215.02 ,"$462,500 ",11/17/2014
25,78731,"2,640","$475,900 ",$176.14 ,"$465,000 ",12/1/2014
