,Zip Code,Square Footage,List Price,Sold Price Per Foot,Sold Price,Sold Date
109,78731,1497,405000,260.52,390000,9/25/2017
110,78703,1016,399900,384.84,391000,10/27/2017
111,78731,1960,474900,240.31,471000,9/14/2017
112,78731,2543,489000,185.8,472500,11/8/2017
113,78703,1348,499000,359.79,485000,11/10/2017
114,78731,1866,525000,265.27,495000,11/17/2017
115,78703,1448,545000,345.3,500000,9/20/2017
116,78731,2332,529900,231.56,540000,6/23/2017
117,78731,1596,549900,344.55,549900,6/8/2017
118,78731,2691,615000,206.99,557000,6/23/2017
119,78703,1096,580000,520.07,570000,9/5/2017
120,78731,2244,589000,259.14,581500,10/27/2017
121,78731,2127,579000,276.21,587500,10/2/2017
122,78703,1574,615000,381.19,600000,6/12/2017
123,78731,2379,625000,262.72,625000,7/31/2017
124,78731,2438,624900,261.28,637000,8/31/2017
125,78703,1510,665000,423.84,640000,10/20/2017
126,78703,1442,650000,447.3,645000,9/22/2017
127,78731,1524,650000,429.79,655000,10/19/2017
128,78731,2463,719000,272.84,672000,9/6/2017
129,78731,2407,699000,282.51,680000,10/30/2017
130,78703,1402,779000,488.59,685000,8/25/2017
131,78731,3042,685000,225.51,686000,11/3/2017
132,78703,1987,719000,352.29,700000,9/28/2017
133,78703,2095,775000,338.66,709500,11/9/2017
134,78731,2525,749000,285.15,720000,9/22/2017
135,78703,1587,697000,457.47,726000,6/27/2017
136,78703,1684,750000,436.46,735000,7/27/2017
137,78703,1616,800000,462.64,747625,10/25/2017
138,78703,1686,750000,446.03,752000,6/28/2017
139,78703,1534,729000,492.18,755000,7/26/2017
140,78731,2434,769900,311.01,757000,9/22/2017
141,78703,1744,775000,435.78,760000,9/21/2017
142,78703,2300,779500,330.43,760000,6/30/2017
143,78703,2752,799000,277.62,764000,8/3/2017
144,78703,1705,898650,457.98,780850,6/9/2017
145,78703,1500,795000,523.33,785000,10/20/2017
146,78703,1720,799000,459.3,790000,11/15/2017
147,78703,1716,799000,460.37,790000,7/28/2017
148,78703,1960,849000,413.27,810000,7/7/2017
149,78703,2043,839000,399.66,816500,8/31/2017
150,78703,2414,849000,341.76,825000,5/25/2017
151,78731,2897,899900,287.54,833000,9/7/2017
152,78703,2598,899000,323.33,840000,11/28/2017
153,78703,2176,850000,390.63,850000,9/8/2017
154,78703,1762,835000,483.83,852500,10/16/2017
155,78703,1680,895000,523.81,880000,7/31/2017
156,78703,1812,885000,487.31,883000,8/31/2017
157,78731,4365,919000,203.44,888000,9/8/2017
158,78703,1748,889900,509.1,889900,8/8/2017
159,78703,2383,885000,381.87,910000,8/22/2017
160,78703,2067,950000,442.67,915000,10/18/2017
161,78703,2607,979000,354.81,925000,8/31/2017
162,78703,2442,949000,388.62,949000,7/6/2017
163,78731,4955,994990,192.73,955000,10/12/2017
164,78703,2931,980000,334.36,980000,11/3/2017
165,78703,2216,1050000,451.26,1000000,10/13/2017
166,78703,3947,1100000,253.36,1000000,6/30/2017
167,78703,1902,1100000,543.9,1034500,11/2/2017
168,78731,2614,1105000,395.94,1035000,10/11/2017
169,78703,1796,995000,579.06,1040000,6/1/2017
170,78703,2917,1060000,363.39,1060000,7/21/2017
171,78703,3234,1250000,340.14,1100000,9/18/2017
172,78703,3180,1174888,353.77,1125000,9/22/2017
173,78703,3200,1195900,354.69,1135000,10/23/2017
174,78731,2536,1150000,447.56,1135000,6/23/2017
175,78703,2367,1295000,485.85,1150000,6/22/2017
176,78703,2770,1170000,417.88,1157520,6/21/2017
177,78703,2594,1195000,448.11,1162400,10/31/2017
178,78731,3025,1299000,396.69,1200000,9/12/2017
179,78703,2576,1199990,465.84,1200000,11/6/2017
180,78703,3065,1350000,391.52,1200000,7/31/2017
181,78703,4008,1250000,303.14,1215000,6/19/2017
182,78703,4687,1250000,266.7,1250000,6/20/2017
183,78731,2907,1298000,435.16,1265000,7/18/2017
184,78731,3599,1295000,352.88,1270000,11/2/2017
185,78703,3363,1350000,386.56,1300000,9/28/2017
186,78703,3216,1439500,404.23,1300000,9/15/2017
187,78703,2168,1325000,622.46,1349500,7/6/2017
188,78731,3608,1395000,374.17,1350000,8/22/2017
189,78703,3140,1350000,429.94,1350000,7/28/2017
190,78703,4455,1399000,306.4,1365000,5/15/2017
191,78703,3615,1400000,384.79,1391000,7/13/2017
192,78703,2944,1425000,473.0,1392500,6/30/2017
193,78703,3054,1495000,456.78,1395000,11/6/2017
194,78703,3463,1449900,403.38,1396900,10/24/2017
195,78703,2817,1487000,508.34,1432000,6/22/2017
196,78703,3054,1495000,507.53,1550000,7/7/2017
197,78703,3659,1645000,437.28,1600000,8/10/2017
198,78703,3997,1699000,410.31,1640000,9/15/2017
199,78731,3270,1799900,544.34,1780000,11/21/2017
200,78703,3469,1895000,517.44,1795000,7/31/2017
201,78703,4441,1950000,425.58,1890000,10/27/2017
202,78703,3844,2175000,520.29,2000000,11/1/2017
203,78703,4208,2395000,556.08,2340000,5/23/2017
204,78703,4373,2799000,600.27,2625000,10/19/2017
205,78727,779,169000,205.39,160000,9/25/2017
206,78727,986,219900,212.98,210000,10/12/2017
207,78727,920,218900,232.61,214000,8/7/2017
208,78727,1023,225000,217.99,223000,10/2/2017
209,78727,1705,229000,140.76,240000,8/25/2017
210,78727,1263,239900,194.77,246000,7/14/2017
211,78727,1508,249900,165.78,250000,9/22/2017
212,78727,1400,244900,179.29,251000,5/31/2017
213,78727,1216,260000,207.24,252000,11/28/2017
214,78727,1356,269000,188.05,255000,10/31/2017
215,78727,1342,279000,190.01,255000,8/21/2017
216,78727,1381,268900,185.95,256800,9/21/2017
217,78727,1182,265000,221.66,262000,6/26/2017
218,78727,1704,250000,154.34,263000,6/8/2017
219,78727,1693,270000,156.53,265000,6/6/2017
220,78727,1513,270000,178.45,270000,10/16/2017
221,78759,1532,300000,176.24,270000,11/21/2017
222,78759,1382,280000,195.37,270000,8/14/2017
223,78727,1440,269900,187.5,270000,8/31/2017
224,78759,1378,299999,199.56,275000,7/18/2017
225,78727,1307,278500,211.94,277000,6/28/2017
226,78727,1466,296000,189.55,277875,7/28/2017
227,78759,1328,275900,209.34,278000,10/19/2017
228,78727,1335,280000,209.74,280000,6/30/2017
229,78759,1377,280000,204.14,281100,10/6/2017
230,78727,1326,285000,213.42,283000,9/20/2017
231,78759,1558,279999,182.93,285000,7/7/2017
232,78727,1296,294990,223.69,289900,10/20/2017
233,78759,1286,295000,227.06,292000,8/7/2017
234,78727,1326,289900,222.47,295000,11/1/2017
235,78759,1516,295000,194.59,295000,7/11/2017
236,78759,1298,310000,231.12,300000,8/30/2017
237,78727,1380,286000,217.39,300000,7/20/2017
238,78727,1481,299900,202.9,300500,6/30/2017
239,78727,1627,299900,185.62,302000,7/21/2017
240,78727,1625,309000,188.31,306000,9/26/2017
241,78759,1718,315000,180.44,310000,10/23/2017
242,78759,1157,324900,267.93,310000,7/26/2017
243,78727,1419,329000,221.28,314000,7/5/2017
244,78727,1850,325000,170.27,315000,9/7/2017
245,78759,1704,315000,184.86,315000,8/18/2017
246,78727,1860,315000,169.35,315000,5/11/2017
247,78750,1361,320000,232.18,316000,10/13/2017
248,78759,1538,315000,207.41,319000,6/16/2017
249,78727,1658,319500,192.7,319500,9/15/2017
250,78727,1704,320000,187.79,320000,9/14/2017
251,78727,1408,330000,227.27,320000,9/8/2017
252,78727,2040,300000,156.86,320000,5/22/2017
253,78759,1750,330000,184.0,322000,7/31/2017
254,78727,1645,325000,195.74,322000,6/15/2017
255,78759,1660,325000,195.78,325000,10/24/2017
256,78759,1511,334990,215.75,326000,11/14/2017
257,78759,1658,330000,196.62,326000,6/30/2017
258,78727,1608,340000,206.16,331500,7/12/2017
259,78727,1765,318000,188.1,332000,10/24/2017
260,78759,1443,337000,232.16,335000,10/23/2017
261,78750,1424,329000,235.25,335000,9/5/2017
262,78759,1344,339900,249.26,335000,10/11/2017
263,78727,1588,338000,212.85,338000,8/25/2017
264,78727,1510,347900,225.17,340000,10/26/2017
265,78759,1724,349900,197.22,340000,9/27/2017
266,78759,1488,360000,228.49,340000,9/7/2017
267,78759,1582,345000,216.5,342500,7/21/2017
268,78727,1786,345000,193.17,345000,10/31/2017
269,78759,1596,349900,216.17,345000,7/17/2017
270,78759,1568,349900,223.21,350000,10/25/2017
271,78727,2239,365000,156.32,350000,9/14/2017
272,78727,1796,334900,194.88,350000,6/15/2017
273,78727,1909,349900,183.34,350000,8/11/2017
274,78759,2033,359000,172.16,350000,6/23/2017
275,78727,1751,359000,201.31,352500,11/28/2017
276,78759,2057,359000,172.1,354000,9/25/2017
277,78727,1871,375000,189.74,355000,9/8/2017
278,78759,1561,399000,227.42,355000,8/10/2017
279,78759,1776,360000,199.89,355000,11/3/2017
280,78727,1814,349000,195.7,355000,5/15/2017
281,78727,1608,344900,222.33,357500,8/4/2017
282,78759,1492,359500,240.95,359500,6/28/2017
283,78727,1679,350000,214.41,360000,7/31/2017
284,78759,1896,349900,189.87,360000,6/23/2017
285,78759,1704,364000,212.49,362085,7/28/2017
286,78727,1678,365000,216.63,363500,6/2/2017
287,78759,1596,365000,228.7,365000,8/11/2017
288,78759,1729,375000,211.1,365000,8/2/2017
289,78727,2212,399500,165.46,366000,7/5/2017
290,78727,1830,350000,200.55,367000,7/12/2017
291,78759,1754,369900,210.89,369900,7/11/2017
292,78759,1965,369900,188.24,369900,9/11/2017
293,78750,1859,373000,201.72,375000,11/27/2017
294,78727,1700,369901,220.59,375000,10/16/2017
295,78759,1474,375000,254.41,375000,10/10/2017
296,78750,1952,375000,192.11,375000,8/8/2017
297,78759,2008,381400,186.75,375000,7/31/2017
298,78727,1912,350000,196.13,375000,5/19/2017
299,78727,1667,376816,226.04,376816,9/22/2017
300,78759,1866,389999,203.11,379000,8/4/2017
301,78759,1628,380000,233.42,380000,9/22/2017
302,78759,1679,389900,226.33,380000,8/18/2017
303,78727,1487,369900,255.55,380000,6/19/2017
304,78759,1703,370000,223.14,380000,5/19/2017
305,78727,2201,389000,173.56,382000,11/13/2017
306,78750,1683,375000,228.76,385000,5/30/2017
307,78759,1948,394800,198.41,386500,5/30/2017
308,78759,1626,400000,238.01,387000,8/11/2017
309,78750,1846,385000,210.73,389000,8/28/2017
310,78727,1948,389000,199.69,389000,7/18/2017
311,78759,1629,379500,239.41,390000,8/15/2017
312,78759,1942,400000,201.85,392000,9/14/2017
313,78727,1716,369500,230.19,395000,7/7/2017
314,78759,2136,405000,188.2,402000,7/3/2017
315,78727,2440,415000,165.16,403000,8/21/2017
316,78759,1868,416500,218.15,407500,7/14/2017
317,78759,1758,397900,233.22,410000,9/1/2017
318,78759,1723,420000,237.96,410000,8/14/2017
319,78727,2339,425000,175.29,410000,8/17/2017
320,78759,2025,425000,202.47,410000,5/19/2017
321,78759,2028,425000,206.21,418200,7/5/2017
322,78759,1958,425000,213.99,419000,9/27/2017
323,78759,2555,429000,164.38,420000,7/11/2017
324,78727,1720,419900,245.93,423000,10/25/2017
325,78759,2007,424900,211.71,424900,10/17/2017
326,78759,1555,399999,273.31,425000,6/28/2017
327,78727,1752,429000,243.15,426000,10/12/2017
328,78759,2384,450000,180.37,430000,10/6/2017
329,78759,2116,425000,203.69,431000,10/20/2017
330,78759,1816,445000,238.99,434000,10/6/2017
331,78759,2534,434500,171.47,434500,6/7/2017
332,78750,1952,443000,222.85,435000,10/2/2017
333,78759,2399,465000,181.95,436500,8/28/2017
334,78750,2037,429000,214.48,436900,6/19/2017
335,78727,2439,429950,179.36,437450,9/7/2017
336,78759,2328,445000,187.93,437500,7/21/2017
337,78759,2583,470000,169.38,437500,7/27/2017
338,78759,2351,435000,186.73,439000,10/20/2017
339,78759,1928,440500,229.51,442500,6/13/2017
340,78759,1700,430000,261.76,445000,6/26/2017
341,78759,2115,444000,210.4,445000,5/31/2017
342,78759,1998,435000,224.22,448000,6/15/2017
