#,MLS #,Status,Area,Address,Zip,# Beds Total,# Baths Full,# Baths Half,# Living,# Stories,# Garage Spaces,Year Built,Acres,Sqft Total,LP$SqFt,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date,ADOM,CDOM
1,1181468,S,1A,8800 North PATH,78759,3,2,0,1,1,2,1975,0.26,"1,741",$211.95 ,"$369,000 ",$186.67 ,"$325,000 ",8/18/2014,20,20
2,4958501,S,1A,4305 Wildridge CIR,78759,3,2,0,2,1,2,1972,0.26,"2,058",$193.88 ,"$399,000 ",$168.61 ,"$347,000 ",9/11/2014,16,16
3,6738431,S,1A,5901 Camino Seco,78731,3,2,1,1,2,2,1982,0.3,"1,662",$225.57 ,"$374,900 ",$215.40 ,"$358,000 ",10/31/2014,57,57
4,9677478,S,1A,6002 Mount Bonnell CV,78731,3,2,1,1,2,2,1981,0.1,"1,997",$205.31 ,"$410,000 ",$185.03 ,"$369,500 ",9/15/2014,106,106
5,2221871,S,1A,6605 Laurelwood DR,78731,3,2,0,2,1,2,1963,0.48,"2,058",$189.50 ,"$390,000 ",$187.07 ,"$385,000 ",6/6/2014,2,2
6,9997283,S,1A,4205 Canyonside TRL,78731,3,3,1,1,M,2,1985,0.12,"2,289",$174.31 ,"$399,000 ",$169.94 ,"$389,000 ",9/5/2014,43,43
7,1694749,S,1A,8004 Northforest DR,78759,3,2,0,1,1,2,1968,0.21,"1,456",$267.86 ,"$390,000 ",$267.17 ,"$389,000 ",8/8/2014,7,7
8,4292898,S,1A,3602 Starline DR,78759,3,2,0,2,1,2,1966,0.24,"1,822",$219.54 ,"$400,000 ",$219.54 ,"$400,000 ",12/11/2014,58,58
9,7083657,S,1A,6908 Cat Creek RUN,78731,2,2,0,1,1,2,1984,0.15,"1,860",$225.27 ,"$419,000 ",$220.43 ,"$410,000 ",8/1/2014,25,25
10,3229615,S,1A,8105 Raintree PL,78759,3,2,0,1,1,2,1982,0.14,"1,922",$218.52 ,"$420,000 ",$215.92 ,"$415,000 ",11/5/2014,9,9
11,1396572,S,1A,3507 Crowncrest DR,78759,3,2,1,2,2,2,1980,0.26,"2,422",$181.46 ,"$439,500 ",$171.35 ,"$415,000 ",10/16/2014,20,20
12,8836489,S,1A,5802 Westslope DR,78731,4,2,0,1,2,2,1977,0.34,"2,206",$212.60 ,"$469,000 ",$197.19 ,"$435,000 ",9/29/2014,27,27
13,9806360,S,1A,5708 Highland Hills CIR,78731,3,2,0,1,1,2,1957,0.3,"1,513",$277.26 ,"$419,500 ",$287.51 ,"$435,000 ",7/23/2014,5,5
14,7787143,S,1A,8710 Silverhill LN,78759,3,2,1,3,2,0,1970,0.23,"2,598",$163.59 ,"$425,000 ",$170.52 ,"$443,000 ",8/29/2014,3,3
15,3641295,S,1A,8413 Lone Mesa,78759,3,2,1,1,1,2,1980,0.45,"2,208",$226.22 ,"$499,500 ",$203.35 ,"$449,000 ",10/17/2014,13,13
16,2003296,S,1A,8701 MOUNTAIN RIDGE DR,78759,3,2,0,2,1,2,1972,0.31,"2,038",$220.31 ,"$449,000 ",$220.31 ,"$449,000 ",7/31/2014,1,1
17,2323899,S,1A,6306 Gato PATH,78731,4,2,1,2,1,2,1983,0.29,"2,493",$190.53 ,"$475,000 ",$180.10 ,"$449,000 ",10/7/2014,102,102
18,4275281,S,1A,8718 Tallwood DR,78759,4,2,1,2,2,2,1969,0.27,"1,815",$247.88 ,"$449,900 ",$247.88 ,"$449,900 ",10/17/2014,40,107
19,5373335,S,1A,5806 Highland Hills TER,78731,3,2,1,2,2,2,1960,0.36,"2,412",$196.93 ,"$475,000 ",$186.57 ,"$450,000 ",12/15/2014,70,70
20,4487703,S,1A,8400 Silver Ridge DR,78759,3,2,0,2,1,2,1969,0.24,"2,236",$201.25 ,"$450,000 ",$203.49 ,"$455,000 ",7/17/2014,10,10
21,8727597,S,1A,8605 Azalea TRL,78759,4,3,0,2,1,2,1972,0.35,"2,590",$178.96 ,"$463,500 ",$176.64 ,"$457,500 ",8/18/2014,18,18
22,7313814,S,1A,4216 Venado DR,78731,4,3,0,2,1,2,1967,0.27,"2,470",$185.83 ,"$459,000 ",$185.83 ,"$459,000 ",6/24/2014,,
23,5489965,S,1A,8712 Mountain Ridge DR,78759,4,2,0,2,1,2,1971,0.25,"2,193",$205.20 ,"$450,000 ",$209.76 ,"$460,000 ",12/19/2014,5,5
24,5030295,S,1A,4005 Greystone DR,78731,4,2,0,1,1,2,1967,0.22,"2,078",$228.59 ,"$475,000 ",$221.37 ,"$460,000 ",10/23/2014,52,52
25,3228618,S,1A,4905 Bob Cat RUN,78731,3,2,1,1,2,2,1984,0.11,"2,151",$220.83 ,"$475,000 ",$215.02 ,"$462,500 ",11/17/2014,5,5
