,Zip,Sqft Total,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date
653,78758,"1,360","$225,000 ",$147.06 ,"$200,000 ",9/21/2017
654,78753,"1,020","$200,000 ",$196.08 ,"$200,000 ",5/30/2017
655,78753,800,"$185,000 ",$250.63 ,"$200,500 ",5/30/2017
656,78758,"1,408","$209,900 ",$145.60 ,"$205,000 ",5/12/2017
657,78753,"1,235","$199,999 ",$170.04 ,"$210,000 ",9/22/2017
658,78758,"1,504","$219,500 ",$139.63 ,"$210,000 ",6/13/2017
659,78758,836,"$195,000 ",$251.20 ,"$210,000 ",6/15/2017
660,78758,"1,312","$220,000 ",$163.87 ,"$215,000 ",9/22/2017
661,78758,"1,264","$258,000 ",$171.95 ,"$217,350 ",11/21/2017
662,78758,826,"$225,000 ",$265.13 ,"$219,000 ",10/10/2017
663,78758,"1,064","$222,900 ",$209.49 ,"$222,900 ",9/29/2017
664,78758,990,"$229,000 ",$226.26 ,"$224,000 ",8/28/2017
665,78758,"1,240","$230,000 ",$181.45 ,"$225,000 ",10/17/2017
666,78753,988,"$229,900 ",$227.73 ,"$225,000 ",9/15/2017
667,78758,"1,130","$225,000 ",$199.12 ,"$225,000 ",8/10/2017
668,78758,"1,117","$229,000 ",$201.43 ,"$225,000 ",9/1/2017
669,78758,"1,102","$225,000 ",$204.17 ,"$225,000 ",10/26/2017
670,78758,962,"$208,900 ",$234.93 ,"$226,000 ",6/23/2017
671,78758,813,"$229,900 ",$281.67 ,"$229,000 ",9/27/2017
672,78753,"1,326","$229,000 ",$172.70 ,"$229,000 ",7/20/2017
673,78758,"1,880","$219,900 ",$121.81 ,"$229,000 ",6/2/2017
674,78758,"1,108","$234,900 ",$207.58 ,"$230,000 ",9/8/2017
675,78753,"2,081","$255,000 ",$110.52 ,"$230,000 ",10/30/2017
676,78758,"1,606","$249,750 ",$143.21 ,"$230,000 ",9/1/2017
677,78758,"1,111","$229,900 ",$207.02 ,"$230,000 ",6/9/2017
678,78758,"1,550","$250,000 ",$149.03 ,"$231,000 ",10/26/2017
679,78758,"1,378","$229,900 ",$167.63 ,"$231,000 ",8/4/2017
680,78753,"1,160","$235,000 ",$199.14 ,"$231,000 ",6/13/2017
681,78758,"1,593","$265,000 ",$147.52 ,"$235,000 ",8/24/2017
682,78758,"1,368","$225,000 ",$171.78 ,"$235,000 ",6/14/2017
683,78753,"1,888","$268,000 ",$126.72 ,"$239,250 ",10/12/2017
684,78758,"1,225","$239,900 ",$195.84 ,"$239,900 ",7/24/2017
685,78758,"1,092","$236,000 ",$219.78 ,"$240,000 ",7/24/2017
686,78758,"1,070","$249,999 ",$226.64 ,"$242,500 ",11/21/2017
687,78758,"1,144","$239,999 ",$215.03 ,"$246,000 ",9/19/2017
688,78758,"1,105","$239,000 ",$226.24 ,"$250,000 ",8/4/2017
689,78753,"1,474","$250,000 ",$169.61 ,"$250,000 ",7/25/2017
690,78758,"1,331","$224,900 ",$187.83 ,"$250,000 ",7/19/2017
691,78758,"1,057","$249,900 ",$241.25 ,"$255,000 ",8/31/2017
692,78758,"1,244","$258,000 ",$205.79 ,"$256,000 ",9/12/2017
693,78758,"1,798","$264,900 ",$143.49 ,"$258,000 ",10/6/2017
694,78758,"1,398","$265,000 ",$185.98 ,"$260,000 ",8/8/2017
695,78758,"1,531","$270,000 ",$169.82 ,"$260,000 ",7/17/2017
696,78758,"1,394","$265,000 ",$190.10 ,"$265,000 ",9/7/2017
