,Zip,Sqft Total,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date
0,78731.0,"2,342","$495,000 ",$188.98 ,"$442,600 ",7/5/2016
1,78759.0,"1,798","$449,900 ",$247.50 ,"$445,000 ",10/31/2016
2,78731.0,"1,692","$450,000 ",$265.37 ,"$449,000 ",8/31/2016
3,78759.0,"1,803","$469,900 ",$249.58 ,"$450,000 ",12/6/2016
4,78759.0,"1,810","$445,000 ",$248.62 ,"$450,000 ",7/8/2016
5,78759.0,"1,988","$499,000 ",$231.39 ,"$460,000 ",9/12/2016
6,78731.0,"1,911","$460,000 ",$243.07 ,"$464,500 ",7/22/2016
7,78759.0,"1,954","$478,000 ",$239.51 ,"$468,000 ",8/19/2016
8,78759.0,"2,051","$475,000 ",$231.59 ,"$475,000 ",11/30/2016
9,78731.0,"2,749","$450,000 ",$172.79 ,"$475,000 ",7/7/2016
10,78731.0,"2,174","$480,000 ",$220.79 ,"$480,000 ",12/28/2016
11,78759.0,"1,826","$499,900 ",$262.87 ,"$480,000 ",11/10/2016
12,78731.0,"1,974","$495,900 ",$247.16 ,"$487,900 ",12/8/2016
13,78759.0,"1,940","$499,000 ",$255.15 ,"$495,000 ",12/20/2016
14,78731.0,"2,094","$465,000 ",$237.11 ,"$496,500 ",10/19/2016
15,78731.0,"1,800","$499,000 ",$277.22 ,"$499,000 ",10/20/2016
16,78759.0,"1,947","$499,900 ",$256.75 ,"$499,900 ",6/20/2016
17,78731.0,"1,968","$499,990 ",$256.61 ,"$505,000 ",6/17/2016
18,78759.0,"2,493","$515,000 ",$207.78 ,"$518,000 ",11/30/2016
19,78731.0,"1,984","$525,000 ",$264.62 ,"$525,000 ",9/30/2016
20,78759.0,"1,895","$535,000 ",$279.68 ,"$530,000 ",9/28/2016
21,78731.0,"2,403","$529,000 ",$222.64 ,"$535,000 ",11/30/2016
22,78759.0,"2,422","$599,000 ",$220.89 ,"$535,000 ",9/16/2016
23,78759.0,"1,921","$549,999 ",$278.71 ,"$535,400 ",11/28/2016
24,78759.0,"1,804","$565,000 ",$299.33 ,"$540,000 ",12/23/2016
25,78759.0,"1,922","$549,950 ",$284.86 ,"$547,500 ",8/26/2016
26,78731.0,"1,935","$550,000 ",$284.24 ,"$550,000 ",12/2/2016
27,78731.0,"2,459","$530,000 ",$224.68 ,"$552,500 ",7/8/2016
28,78759.0,"2,131","$574,900 ",$261.61 ,"$557,500 ",10/24/2016
29,78731.0,"2,378","$568,950 ",$237.59 ,"$565,000 ",9/15/2016
30,78759.0,"2,025","$575,000 ",$280.00 ,"$567,000 ",10/14/2016
31,78731.0,"2,197","$575,000 ",$259.44 ,"$570,000 ",10/11/2016
32,78759.0,"2,012","$575,000 ",$283.30 ,"$570,000 ",8/29/2016
33,78731.0,"2,193","$575,000 ",$260.60 ,"$571,500 ",9/9/2016
34,78731.0,"1,833","$577,000 ",$312.06 ,"$572,000 ",7/22/2016
35,78731.0,"2,737","$595,000 ",$209.17 ,"$572,500 ",11/29/2016
36,78759.0,"3,815","$575,000 ",$150.72 ,"$575,000 ",10/21/2016
37,78731.0,"2,861","$619,999 ",$201.73 ,"$577,150 ",9/30/2016
38,78731.0,"2,590","$599,500 ",$223.94 ,"$580,000 ",9/30/2016
39,78731.0,"2,709","$589,000 ",$215.58 ,"$584,000 ",12/19/2016
40,78731.0,"3,116","$625,000 ",$189.35 ,"$590,000 ",11/3/2016
41,78731.0,"1,661","$549,000 ",$356.71 ,"$592,500 ",11/10/2016
42,78731.0,"1,918","$609,000 ",$310.22 ,"$595,000 ",8/19/2016
43,78731.0,"2,556","$600,000 ",$233.96 ,"$598,000 ",11/9/2016
44,78731.0,"2,258","$599,000 ",$265.28 ,"$599,000 ",9/12/2016
45,78731.0,"3,042","$635,000 ",$198.22 ,"$603,000 ",11/16/2016
46,78731.0,"2,283","$599,000 ",$265.00 ,"$605,000 ",7/21/2016
47,78731.0,"2,723","$629,000 ",$224.02 ,"$610,000 ",11/21/2016
48,78731.0,"2,154","$625,000 ",$290.16 ,"$625,000 ",12/23/2016
49,78731.0,"1,893","$649,000 ",$330.16 ,"$625,000 ",10/27/2016
50,78731.0,"2,380","$650,000 ",$262.61 ,"$625,000 ",12/22/2016
51,78731.0,"2,456","$649,000 ",$256.51 ,"$630,000 ",7/15/2016
52,78759.0,"3,411","$650,000 ",$184.70 ,"$630,000 ",8/19/2016
53,78731.0,"2,195","$635,000 ",$287.02 ,"$630,000 ",7/25/2016
54,78731.0,"2,966","$635,000 ",$213.76 ,"$634,000 ",6/8/2016
55,78731.0,"1,955","$635,000 ",$324.81 ,"$635,000 ",9/23/2016
56,78759.0,"3,278","$649,000 ",$194.33 ,"$637,000 ",9/6/2016
57,78731.0,"2,430","$650,000 ",$262.93 ,"$638,930 ",10/21/2016
58,78731.0,"3,329","$699,000 ",$193.60 ,"$644,500 ",6/22/2016
59,78731.0,"2,201","$645,000 ",$293.05 ,"$645,000 ",8/31/2016
60,78731.0,"3,336","$674,900 ",$194.84 ,"$650,000 ",12/12/2016
61,78759.0,"2,515","$674,500 ",$259.44 ,"$652,500 ",9/15/2016
62,78731.0,"2,950","$669,950 ",$223.39 ,"$659,000 ",12/16/2016
63,78731.0,"2,546","$685,000 ",$264.14 ,"$672,500 ",8/31/2016
64,78731.0,"3,100","$695,000 ",$217.74 ,"$675,000 ",11/22/2016
65,78759.0,"2,432","$689,000 ",$279.19 ,"$679,000 ",12/16/2016
66,78759.0,"2,362","$685,000 ",$290.01 ,"$685,000 ",12/19/2016
67,78731.0,"3,371","$750,000 ",$203.20 ,"$685,000 ",12/8/2016
68,78759.0,"2,203","$690,000 ",$313.21 ,"$690,000 ",12/21/2016
