,Zip Code,Square Footage,List Price,Sold Price Per Foot,Sold Price,Sold Date
110,78731,2211,437000,196.07,433500,9/29/2014
111,78731,2263,447500,201.06,455000,11/4/2014
112,78703,2198,545000,211.56,465000,10/10/2014
113,78703,1910,400000,243.46,465000,7/21/2014
114,78731,1949,475000,243.71,475000,10/10/2014
115,78703,1172,510000,418.94,491000,8/21/2014
116,78703,1547,499000,323.21,500000,10/30/2014
117,78703,1024,450000,488.28,500000,7/7/2014
118,78731,1992,497500,251.0,500000,7/11/2014
119,78703,1568,529000,318.88,500000,7/8/2014
120,78703,1238,529900,407.11,504000,7/22/2014
121,78703,1204,529000,422.76,509000,8/27/2014
122,78703,945,599000,555.56,525000,11/21/2014
123,78703,1236,575000,436.89,540000,10/15/2014
124,78703,1364,565000,395.89,540000,9/26/2014
125,78703,1534,549000,352.02,540000,7/11/2014
126,78703,1000,525000,542.0,542000,10/10/2014
127,78731,2552,565000,213.56,545000,12/19/2014
128,78703,2361,550000,232.95,550000,10/8/2014
129,78731,2178,557750,256.08,557750,7/9/2014
130,78703,1279,540000,437.84,560000,9/8/2014
131,78731,1982,595000,290.11,575000,11/24/2014
132,78731,2044,599950,281.31,575000,12/18/2014
133,78703,1616,575000,355.82,575000,6/8/2014
134,78703,1604,599999,358.48,575000,8/11/2014
135,78703,1630,589000,354.6,578000,8/28/2014
136,78703,1290,600000,448.95,579150,8/15/2014
137,78703,1702,595000,341.45,581145,8/28/2014
138,78731,2789,545000,209.75,585000,6/27/2014
139,78703,1617,595000,361.78,585000,7/11/2014
140,78731,2525,600100,234.27,591525,7/17/2014
141,78703,1512,609000,399.47,604000,7/7/2014
142,78703,1720,599900,351.74,605000,7/10/2014
143,78703,1452,630000,423.55,615000,12/29/2014
144,78703,2153,650000,285.65,615000,11/21/2014
145,78703,1909,625000,325.83,622000,6/20/2014
146,78703,2444,695000,255.73,625000,7/30/2014
147,78731,3042,649000,207.1,630000,10/17/2014
148,78703,1851,625000,345.76,640000,11/26/2014
149,78731,2396,650000,269.2,645000,11/6/2014
150,78703,2104,649000,311.31,655000,12/9/2014
151,78731,1830,669500,360.11,659000,12/30/2014
152,78703,1855,649500,355.8,660000,12/9/2014
153,78731,2581,679900,261.53,675000,12/1/2014
154,78703,2160,696500,314.81,680000,11/17/2014
155,78703,1902,699900,357.52,680000,9/3/2014
156,78703,3395,749000,212.67,722000,11/25/2014
157,78703,1836,699000,394.88,725000,11/7/2014
158,78731,3228,850000,224.6,725000,11/20/2014
159,78703,1735,749900,417.87,725000,9/12/2014
160,78703,1898,750000,389.88,740000,10/22/2014
161,78703,1933,750000,388.0,750000,12/29/2014
162,78703,1722,775000,435.54,750000,10/31/2014
163,78703,2183,769000,348.14,760000,11/5/2014
164,78703,2570,829000,311.64,800920,9/8/2014
165,78703,2323,895000,357.3,830000,10/23/2014
166,78703,3211,855000,258.49,830000,10/7/2014
167,78703,2125,837000,393.88,837000,7/15/2014
168,78731,2676,849000,314.84,842500,11/20/2014
169,78703,2768,874600,307.08,850000,11/14/2014
170,78703,2609,885000,331.54,865000,9/29/2014
171,78703,2034,875000,430.19,875000,7/18/2014
172,78703,2402,899900,370.52,890000,9/15/2014
173,78731,3320,899900,269.85,895900,8/15/2014
174,78731,3062,925000,293.93,900000,10/31/2014
175,78703,3281,955000,275.22,903000,12/5/2014
176,78703,2198,925000,411.74,905000,10/13/2014
177,78703,2104,875000,432.03,909000,6/17/2014
178,78703,2417,929000,380.22,919000,11/21/2014
179,78703,2598,875000,361.82,940000,6/23/2014
180,78703,3904,1185000,251.02,980000,11/12/2014
181,78703,3784,1100000,263.52,997160,7/16/2014
182,78731,3586,1150000,278.86,1000000,7/28/2014
183,78703,3611,1200000,279.97,1010975,9/26/2014
